COM Travel objective,COM turning objective (YAW),EE collision objective,EE height objective (stance),EE height objective (swing),EE position objective,Fixed wheels objective,GRF 0 in swing constraint,GRF friction constraints,GRF is positive constraint,GRF stance regularizer,Passive wheels (w/o friction),Total energy,feet sliding objective,foot path smoothness objective,force acceleration objective,joint angle bound constraint,joint angle velocity constraint,periodic body orientations (PITCH),periodic body orientations (ROLL),periodic joint angles,periodic wheel speed,robot COM objective,robot COM orientations objective,robot EE objective,robot body orientation regularizer objective (PITCH),robot body orientation regularizer objective (ROLL),robot body orientation regularizer objective (YAW),robot joint angles regularizer objective,robot joint angles regularizer objective (non-limb),robot smooth body orientation trajectories,robot smooth joint angle trajectories,robot smooth joint angles objective (non-limb),robot stance leg smooth joint angle trajectories,robot stance legs motion regularizer,robot wheel axis objective,smoothCOM,torque angular acceleration objective,wheel angle smooth regularizer,wheel speed bound constraint,wheel speed smooth regularizer,
0,0,8453.98,7.11111,0,0,0,0,0,4142.45,0,5.14219e-10,0,0,0,2.02724,0,0,0,0,0,2.53619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.72254e-06,0,0,0.000310908,0,6.98286e-08,0.941247,0,0,2.04326e-07,0.000450954,0.000238966,0,5.2697e-05,0,2.13415e-06,0,0,0,3.28441e-07,8.39723e-10,0.000353329,4.86166e-08,5.335e-05,0,0.000417294,0.00108686,0.000466058,0.000514338,0.00794193,0,0.00316615,0.00163359,0.00146387,0.0226821,0.000151087,0,0,0,0,0,
4.72254e-06,0,0,0.000310908,0,6.98286e-08,0.941247,0,0,2.04326e-07,0.000450954,0.000238966,0,5.2697e-05,0,2.13415e-06,0,0,0,3.28441e-07,8.39723e-10,0.000353329,4.86166e-08,5.335e-05,0,0.000417294,0.00108686,0.000466058,0.000514338,0.00794193,0,0.00316615,0.00163359,0.00146387,0.0226821,0.000151087,0,0,0,0,0,
3.65419e-06,0,0,0.000276834,0,5.72362e-08,0.957117,0.00135199,0,1.36208e-07,0.00029324,0.000292327,0,4.75752e-05,0,8.02715e-07,0,0,0,2.787e-07,4.98936e-10,0.000354092,3.77362e-08,5.00785e-05,0,0.000321023,0.000814993,0.000521575,0.000478968,0.00795437,0,0.00283011,0.00170364,0.00135718,0.0210953,0.000129926,0,0,0,0,0,
2.87048e-06,0,0,0.000250347,0,4.80413e-08,0.976482,0.000966502,0,9.39617e-08,0.000214028,0.000327015,0,4.36524e-05,0,5.7769e-07,0,0,0,2.40687e-07,2.63195e-10,0.000354854,2.97472e-08,4.77561e-05,0,0.000252941,0.0006169,0.000580111,0.000454132,0.00801162,0,0.00257202,0.00175832,0.00130162,0.0199618,0.000114486,0,0,0,0,0,
2.71739e-06,0,0,0.000245053,0,4.62648e-08,0.981141,0.000879049,0,8.67917e-08,0.000203189,0.000310668,0,4.28707e-05,0,5.36229e-07,0,0,0,2.33207e-07,2.20352e-10,0.00035505,2.81842e-08,4.73059e-05,0,0.000240153,0.000578799,0.000593529,0.000449054,0.00802917,0,0.00252011,0.00176789,0.00129107,0.0197476,0.000111519,0,0,0,0,0,
2.68114e-06,0,0,0.000243796,0,4.58446e-08,0.982285,0.000878786,0,8.51502e-08,0.000200857,0.000306107,0,4.26852e-05,0,5.25753e-07,0,0,0,2.31432e-07,2.10529e-10,0.000355098,2.7814e-08,4.71994e-05,0,0.000237154,0.000569854,0.00059681,0.000447842,0.0080336,0,0.00250776,0.00177011,0.00128859,0.0196972,0.00011082,0,0,0,0,0,
2.12725e-06,0,0,0.000224296,0,3.94813e-08,1.00225,0.000588979,0,6.34715e-08,0.000178785,0.000288852,0,3.98734e-05,0,5.09707e-07,0,0,0,2.03836e-07,8.78861e-11,0.000355486,2.22399e-08,4.56702e-05,0,0.000192502,0.000441319,0.00065325,0.000434227,0.00810953,0,0.00232704,0.00182828,0.00126903,0.0189265,9.90257e-05,0,0,0,0,0,
2.07204e-06,0,0,0.000222336,0,3.8853e-08,1.0045,0.000614022,0,6.17133e-08,0.000177948,0.000280656,0,3.95907e-05,0,4.99126e-07,0,0,0,2.01094e-07,7.75829e-11,0.000355533,2.16844e-08,4.5519e-05,0,0.000188218,0.00042897,0.000659462,0.000432766,0.00811905,0,0.00230868,0.00183385,0.00126665,0.0188517,9.78832e-05,0,0,0,0,0,
1.29398e-06,0,0,0.000192868,0,2.97217e-08,1.04363,0.000259471,0,4.48252e-08,0.000200226,0.000282362,0,3.53505e-05,0,8.61996e-07,0,0,0,1.6068e-07,1.73592e-13,0.000356079,1.38846e-08,4.34312e-05,0,0.000127586,0.000270387,0.000769127,0.000417045,0.00828002,0,0.00204123,0.00193675,0.00127049,0.0177575,8.0499e-05,0,0,0,0,0,
